"","scientificName","agency","project","relyea_order","relyea_site_count","relyea_taxa_FSBI","relyea_sensitivity_score","source","relyea_note"
"1","Ablabesmyia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"2","Ablabesmyia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"3","Ablabesmyia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"4","Acentrella","BLM","AIM PIBO OE","E",176,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"5","Acentrella","USFS","PIBO","E",176,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"6","Acentrella","BLM","AIM WW OE","E",176,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"7","Acentrella insignificans","USFS","PIBO","E",74,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"8","Acentrella turbida","USFS","PIBO","E",72,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"9","Acerpenna","USFS","PIBO",NA,NA,NA,NA,NA,NA
"10","Actinopterygii","USFS","PIBO",NA,NA,NA,NA,NA,NA
"11","Aeshna","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"12","Aeshna","USFS","PIBO",NA,NA,NA,NA,NA,NA
"13","Aeshna eremita","USFS","PIBO",NA,NA,NA,NA,NA,NA
"14","Aeshna interrupta","USFS","PIBO",NA,NA,NA,NA,NA,NA
"15","Aeshnidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"16","Agabus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"17","Agabus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"18","Agapetus","BLM","AIM PIBO OE","T",68,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"19","Agapetus","USFS","PIBO","T",68,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"20","Agapetus","BLM","AIM WW OE","T",68,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"21","Agathon","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"22","Agathon","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"23","Agathon","USFS","PIBO",NA,NA,NA,NA,NA,NA
"24","Agraylea","USFS","PIBO",NA,NA,NA,NA,NA,NA
"25","Agraylea","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"26","Agraylea","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"27","Allocosmoecus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"28","Allocosmoecus partitus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"29","Allomyia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"30","Allomyia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"31","Alloperla","USFS","PIBO",NA,NA,NA,NA,NA,NA
"32","Alotanypus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"33","Alotanypus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"34","Ambrysus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"35","Ambrysus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"36","Ameletus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"37","Ameletus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"38","Ameletus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"39","Ameletus similior","USFS","PIBO",NA,NA,NA,NA,NA,NA
"40","Ametor","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"41","Ametor","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"42","Ametor","USFS","PIBO",NA,NA,NA,NA,NA,NA
"43","Amiocentrus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"44","Amiocentrus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"45","Amiocentrus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"46","Amiocentrus aspilus","USFS","PIBO","T",40,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"47","Amiocentrus aspilus","BLM","AIM PIBO OE","T",40,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"48","Amiocentrus aspilus","BLM","AIM WW OE","T",40,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"49","Amphicosmoecus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"50","Amphicosmoecus canax","USFS","PIBO",NA,NA,NA,NA,NA,NA
"51","Amphinemura","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"52","Amphinemura","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"53","Amphinemura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"54","Amphinemura banksi","USFS","PIBO",NA,NA,NA,NA,NA,NA
"55","Amphinemura/Malenka","USFS","PIBO",NA,NA,NA,NA,NA,NA
"56","Amphipoda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"57","Amphizoa","USFS","PIBO",NA,NA,NA,NA,NA,NA
"58","Ampumixis dispar","USFS","PIBO","C",28,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"59","Anacaena","USFS","PIBO",NA,NA,NA,NA,NA,NA
"60","Anagapetus","BLM","AIM WW OE","T",58,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"61","Anagapetus","USFS","PIBO","T",58,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"62","Anagapetus","BLM","AIM PIBO OE","T",58,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"63","Anopheles","USFS","PIBO",NA,NA,NA,NA,NA,NA
"64","Antocha","USFS","PIBO","D",347,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"65","Antocha monticola","BLM","AIM WW OE","D",37,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"66","Antocha monticola","BLM","AIM PIBO OE","D",37,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"67","Antocha monticola","USFS","PIBO","D",37,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"68","Anura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"69","Apatania","USFS","PIBO","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"70","Apatania","BLM","AIM PIBO OE","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"71","Apatania","BLM","AIM WW OE","T",112,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"72","Apedilum","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"73","Apedilum","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"74","Apedilum","USFS","PIBO",NA,NA,NA,NA,NA,NA
"75","Aquarius","USFS","PIBO",NA,NA,NA,NA,NA,NA
"76","Archilestes grandis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"77","Arctopsyche","USFS","PIBO","T",199,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"78","Arctopsyche grandis","USFS","PIBO","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"79","Arctopsyche grandis","BLM","AIM WW OE","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"80","Arctopsyche grandis","BLM","AIM PIBO OE","T",190,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
"81","Arctopsychinae","USFS","PIBO","T",48,10,"moderately fine sediment sensitive","Relyea et al. 2012 Table 2",""
"82","Argia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"83","Argia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"84","Argia vivida","USFS","PIBO",NA,NA,NA,NA,NA,NA
"85","Arrenurus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"86","Arrenurus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"87","Arrenurus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"88","Ascaphus truei","USFS","PIBO",NA,NA,NA,NA,NA,NA
"89","Asellidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"90","Asioplax","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"91","Asioplax","USFS","PIBO",NA,NA,NA,NA,NA,NA
"92","Astacidae","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"93","Astacidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"94","Athericidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"95","Atherix","USFS","PIBO","D",113,5,"slightly fine sediment sensitive","Relyea et al. 2012 Table 2",""
"96","Atherix pachypus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"97","Atherix pachypus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"98","Atherix pachypus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"99","Atractelmis wawona","USFS","PIBO",NA,NA,NA,NA,NA,NA
"100","Atrichopogon","BLM","AIM PIBO OE","D",53,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
